,site,trtmt,var,whatDoesNaMean? (didnotmeasure or 0 or doublecheck your data)
657,Blowdown,CN,exp.seedling.missing,
658,Blowdown,CN,easting,
659,Blowdown,CN,northing,
660,Blowdown,CN,scar.photo,
661,Blowdown,CN,comment,
662,Blowdown,CN,provenance,
719,Blowdown,CN,organic.depth,
791,Blowdown,SC,tussock.treat,
792,Blowdown,SC,excrement,
793,Blowdown,SC,other,
794,Blowdown,SC,nat.seedling.sp.y0,
795,Blowdown,SC,nat.seedling.sp.y1,
796,Blowdown,SC,nat.seedling.sp.y2,
797,Blowdown,SC,nat.seedling.count.y2,
798,Blowdown,SC,exp.seedling.count.y2,
799,Blowdown,SC,exp.seedling.missing,
800,Blowdown,SC,easting,
801,Blowdown,SC,northing,
802,Blowdown,SC,comment,
803,Blowdown,SC,provenance,
828,Blowdown,SC,scar.photo,
858,Blowdown,SC,organic.depth,
912,Blowdown,SD,tussock.treat,
913,Blowdown,SD,excrement,
914,Blowdown,SD,other,
915,Blowdown,SD,nat.seedling.sp.y0,
916,Blowdown,SD,nat.seedling.sp.y1,
917,Blowdown,SD,nat.seedling.sp.y2,
918,Blowdown,SD,nat.seedling.count.y2,
919,Blowdown,SD,exp.seedling.count.y2,
920,Blowdown,SD,exp.seedling.missing,
921,Blowdown,SD,easting,
922,Blowdown,SD,northing,
923,Blowdown,SD,scar.photo,
924,Blowdown,SD,comment,
925,Blowdown,SD,provenance,
983,Blowdown,SD,organic.depth,
1054,Blowdown,SS,tussock.treat,
1055,Blowdown,SS,excrement,
1056,Blowdown,SS,other,
1057,Blowdown,SS,nat.seedling.sp.y0,
1058,Blowdown,SS,nat.seedling.sp.y1,
1059,Blowdown,SS,nat.seedling.sp.y2,
1060,Blowdown,SS,nat.seedling.count.y2,
1061,Blowdown,SS,exp.seedling.count.y2,
1062,Blowdown,SS,exp.seedling.missing,
1063,Blowdown,SS,easting,
1064,Blowdown,SS,northing,
1065,Blowdown,SS,comment,
1066,Blowdown,SS,provenance,
1107,Blowdown,SS,organic.depth,
1186,Brooks,CTL,tussock.treat,
1187,Brooks,CTL,organic.depth,
1188,Brooks,CTL,excrement,
1189,Brooks,CTL,litter,
1190,Brooks,CTL,nat.seedling.sp.y0,
1191,Brooks,CTL,nat.seedling.count.y0,
1192,Brooks,CTL,nat.seedling.sp.y1,
1193,Brooks,CTL,nat.seedling.count.y1,
1194,Brooks,CTL,nat.seedling.sp.y2,
1195,Brooks,CTL,nat.seedling.count.y2,
1196,Brooks,CTL,exp.seedling.dead,
1197,Brooks,CTL,exp.seedling.missing,
1198,Brooks,CTL,plot.photo,
1199,Brooks,CTL,scar.photo,
1200,Brooks,CTL,date.counted,
1201,Brooks,CTL,comment,
1202,Brooks,CTL,provenance,
1268,Brooks,SC,tussock.treat,
1269,Brooks,SC,excrement,
1270,Brooks,SC,litter,
1271,Brooks,SC,nat.seedling.sp.y0,
1272,Brooks,SC,nat.seedling.count.y0,
1273,Brooks,SC,nat.seedling.sp.y1,
1274,Brooks,SC,nat.seedling.count.y1,
1275,Brooks,SC,nat.seedling.sp.y2,
1276,Brooks,SC,nat.seedling.count.y2,
1277,Brooks,SC,exp.seedling.dead,
1278,Brooks,SC,exp.seedling.missing,
1279,Brooks,SC,plot.photo,
1280,Brooks,SC,scar.photo,
1281,Brooks,SC,date.counted,
1282,Brooks,SC,comment,
1283,Brooks,SC,provenance,
1333,Brooks,SC,organic.depth,
1349,Brooks,SD,tussock.treat,
1350,Brooks,SD,organic.depth,
1351,Brooks,SD,excrement,
1352,Brooks,SD,litter,
1353,Brooks,SD,nat.seedling.sp.y0,
1354,Brooks,SD,nat.seedling.count.y0,
1355,Brooks,SD,nat.seedling.sp.y1,
1356,Brooks,SD,nat.seedling.count.y1,
1357,Brooks,SD,nat.seedling.sp.y2,
1358,Brooks,SD,nat.seedling.count.y2,
1359,Brooks,SD,exp.seedling.dead,
1360,Brooks,SD,exp.seedling.missing,
1361,Brooks,SD,plot.photo,
1362,Brooks,SD,scar.photo,
1363,Brooks,SD,date.counted,
1364,Brooks,SD,comment,
1365,Brooks,SD,provenance,
1430,Brooks,SS,tussock.treat,
1431,Brooks,SS,excrement,
1432,Brooks,SS,litter,
1433,Brooks,SS,nat.seedling.sp.y0,
1434,Brooks,SS,nat.seedling.count.y0,
1435,Brooks,SS,nat.seedling.sp.y1,
1436,Brooks,SS,nat.seedling.count.y1,
1437,Brooks,SS,nat.seedling.sp.y2,
1438,Brooks,SS,nat.seedling.count.y2,
1439,Brooks,SS,exp.seedling.dead,
1440,Brooks,SS,exp.seedling.missing,
1441,Brooks,SS,plot.photo,
1442,Brooks,SS,scar.photo,
1443,Brooks,SS,date.counted,
1444,Brooks,SS,comment,
1445,Brooks,SS,provenance,
1510,"Canol Trail, NWT",CTL,tussock.treat,
1511,"Canol Trail, NWT",CTL,rock,
1512,"Canol Trail, NWT",CTL,excrement,
1513,"Canol Trail, NWT",CTL,litter,
1514,"Canol Trail, NWT",CTL,nat.seedling.sp.y0,
1515,"Canol Trail, NWT",CTL,nat.seedling.sp.y1,
1516,"Canol Trail, NWT",CTL,nat.seedling.count.y1,
1517,"Canol Trail, NWT",CTL,nat.seedling.sp.y2,
1518,"Canol Trail, NWT",CTL,nat.seedling.count.y2,
1519,"Canol Trail, NWT",CTL,exp.seedling.sp,
1520,"Canol Trail, NWT",CTL,exp.seedling.count.y1,
1521,"Canol Trail, NWT",CTL,exp.seedling.count.y2,
1522,"Canol Trail, NWT",CTL,exp.seedling.dead,
1523,"Canol Trail, NWT",CTL,exp.seedling.missing,
1524,"Canol Trail, NWT",CTL,easting,
1525,"Canol Trail, NWT",CTL,northing,
1526,"Canol Trail, NWT",CTL,scar.photo,
1527,"Canol Trail, NWT",CTL,date.seeded,
1528,"Canol Trail, NWT",CTL,date.counted,
1529,"Canol Trail, NWT",CTL,provenance,
3040,"Canol Trail, NWT",SC,tussock.treat,
3041,"Canol Trail, NWT",SC,moss,
3042,"Canol Trail, NWT",SC,lichen,
3043,"Canol Trail, NWT",SC,mineral,
3044,"Canol Trail, NWT",SC,organic,
3045,"Canol Trail, NWT",SC,rock,
3046,"Canol Trail, NWT",SC,shrub,
3047,"Canol Trail, NWT",SC,excrement,
3048,"Canol Trail, NWT",SC,forb,
3049,"Canol Trail, NWT",SC,graminoid,
3050,"Canol Trail, NWT",SC,litter,
3051,"Canol Trail, NWT",SC,nat.seedling.sp.y0,
3052,"Canol Trail, NWT",SC,nat.seedling.sp.y1,
3053,"Canol Trail, NWT",SC,nat.seedling.count.y1,
3054,"Canol Trail, NWT",SC,nat.seedling.sp.y2,
3055,"Canol Trail, NWT",SC,nat.seedling.count.y2,
3056,"Canol Trail, NWT",SC,exp.seedling.sp,
3057,"Canol Trail, NWT",SC,exp.seedling.count.y1,
3058,"Canol Trail, NWT",SC,exp.seedling.count.y2,
3059,"Canol Trail, NWT",SC,exp.seedling.dead,
3060,"Canol Trail, NWT",SC,exp.seedling.missing,
3061,"Canol Trail, NWT",SC,easting,
3062,"Canol Trail, NWT",SC,northing,
3063,"Canol Trail, NWT",SC,scar.photo,
3064,"Canol Trail, NWT",SC,date.seeded,
3065,"Canol Trail, NWT",SC,date.counted,
3066,"Canol Trail, NWT",SC,provenance,
5130,"Canol Trail, NWT",SD,tussock.treat,
5131,"Canol Trail, NWT",SD,rock,
5132,"Canol Trail, NWT",SD,excrement,
5133,"Canol Trail, NWT",SD,litter,
5134,"Canol Trail, NWT",SD,nat.seedling.sp.y0,
5135,"Canol Trail, NWT",SD,nat.seedling.sp.y1,
5136,"Canol Trail, NWT",SD,nat.seedling.count.y1,
5137,"Canol Trail, NWT",SD,nat.seedling.sp.y2,
5138,"Canol Trail, NWT",SD,nat.seedling.count.y2,
5139,"Canol Trail, NWT",SD,exp.seedling.sp,
5140,"Canol Trail, NWT",SD,exp.seedling.count.y1,
5141,"Canol Trail, NWT",SD,exp.seedling.count.y2,
5142,"Canol Trail, NWT",SD,exp.seedling.dead,
5143,"Canol Trail, NWT",SD,exp.seedling.missing,
5144,"Canol Trail, NWT",SD,easting,
5145,"Canol Trail, NWT",SD,northing,
5146,"Canol Trail, NWT",SD,scar.photo,
5147,"Canol Trail, NWT",SD,date.seeded,
5148,"Canol Trail, NWT",SD,date.counted,
5149,"Canol Trail, NWT",SD,provenance,
6660,"Canol Trail, NWT",SS,tussock.treat,
6661,"Canol Trail, NWT",SS,moss,
6662,"Canol Trail, NWT",SS,lichen,
6663,"Canol Trail, NWT",SS,mineral,
6664,"Canol Trail, NWT",SS,organic,
6665,"Canol Trail, NWT",SS,rock,
6666,"Canol Trail, NWT",SS,shrub,
6667,"Canol Trail, NWT",SS,excrement,
6668,"Canol Trail, NWT",SS,forb,
6669,"Canol Trail, NWT",SS,graminoid,
6670,"Canol Trail, NWT",SS,litter,
6671,"Canol Trail, NWT",SS,nat.seedling.sp.y0,
6672,"Canol Trail, NWT",SS,nat.seedling.sp.y1,
6673,"Canol Trail, NWT",SS,nat.seedling.count.y1,
6674,"Canol Trail, NWT",SS,nat.seedling.sp.y2,
6675,"Canol Trail, NWT",SS,nat.seedling.count.y2,
6676,"Canol Trail, NWT",SS,exp.seedling.sp,
6677,"Canol Trail, NWT",SS,exp.seedling.count.y1,
6678,"Canol Trail, NWT",SS,exp.seedling.count.y2,
6679,"Canol Trail, NWT",SS,exp.seedling.dead,
6680,"Canol Trail, NWT",SS,exp.seedling.missing,
6681,"Canol Trail, NWT",SS,easting,
6682,"Canol Trail, NWT",SS,northing,
6683,"Canol Trail, NWT",SS,scar.photo,
6684,"Canol Trail, NWT",SS,date.seeded,
6685,"Canol Trail, NWT",SS,date.counted,
6686,"Canol Trail, NWT",SS,provenance,
8750,"Churchill, MB",CTL,tussock.treat,
8751,"Churchill, MB",CTL,rock,
8752,"Churchill, MB",CTL,excrement,
8753,"Churchill, MB",CTL,litter,
8754,"Churchill, MB",CTL,nat.seedling.sp.y0,
8755,"Churchill, MB",CTL,nat.seedling.sp.y1,
8756,"Churchill, MB",CTL,nat.seedling.count.y1,
8757,"Churchill, MB",CTL,nat.seedling.sp.y2,
8758,"Churchill, MB",CTL,nat.seedling.count.y2,
8759,"Churchill, MB",CTL,exp.seedling.sp,
8760,"Churchill, MB",CTL,exp.seedling.dead,
8761,"Churchill, MB",CTL,exp.seedling.missing,
8762,"Churchill, MB",CTL,scar.photo,
8763,"Churchill, MB",CTL,date.seeded,
8764,"Churchill, MB",CTL,date.counted,
8765,"Churchill, MB",CTL,provenance,
8927,"Churchill, MB",CTL,moss,
8928,"Churchill, MB",CTL,lichen,
8929,"Churchill, MB",CTL,mineral,
8930,"Churchill, MB",CTL,organic,
8932,"Churchill, MB",CTL,shrub,
8934,"Churchill, MB",CTL,forb,
8935,"Churchill, MB",CTL,graminoid,
9337,"Churchill, MB",CTL,exp.seedling.count.y2,
9939,"Churchill, MB",SC,tussock.treat,
9940,"Churchill, MB",SC,moss,
9941,"Churchill, MB",SC,lichen,
9942,"Churchill, MB",SC,mineral,
9943,"Churchill, MB",SC,organic,
9944,"Churchill, MB",SC,rock,
9945,"Churchill, MB",SC,shrub,
9946,"Churchill, MB",SC,excrement,
9947,"Churchill, MB",SC,forb,
9948,"Churchill, MB",SC,graminoid,
9949,"Churchill, MB",SC,litter,
9950,"Churchill, MB",SC,nat.seedling.sp.y0,
9951,"Churchill, MB",SC,nat.seedling.sp.y1,
9952,"Churchill, MB",SC,nat.seedling.count.y1,
9953,"Churchill, MB",SC,nat.seedling.sp.y2,
9954,"Churchill, MB",SC,nat.seedling.count.y2,
9955,"Churchill, MB",SC,exp.seedling.sp,
9956,"Churchill, MB",SC,exp.seedling.dead,
9957,"Churchill, MB",SC,exp.seedling.missing,
9958,"Churchill, MB",SC,scar.photo,
9959,"Churchill, MB",SC,date.seeded,
9960,"Churchill, MB",SC,date.counted,
9961,"Churchill, MB",SC,provenance,
10744,"Churchill, MB",SC,exp.seedling.count.y2,
11550,"Churchill, MB",SD,tussock.treat,
11551,"Churchill, MB",SD,rock,
11552,"Churchill, MB",SD,excrement,
11553,"Churchill, MB",SD,litter,
11554,"Churchill, MB",SD,nat.seedling.sp.y0,
11555,"Churchill, MB",SD,nat.seedling.sp.y1,
11556,"Churchill, MB",SD,nat.seedling.count.y1,
11557,"Churchill, MB",SD,nat.seedling.sp.y2,
11558,"Churchill, MB",SD,nat.seedling.count.y2,
11559,"Churchill, MB",SD,exp.seedling.sp,
11560,"Churchill, MB",SD,exp.seedling.dead,
11561,"Churchill, MB",SD,exp.seedling.missing,
11562,"Churchill, MB",SD,scar.photo,
11563,"Churchill, MB",SD,date.seeded,
11564,"Churchill, MB",SD,date.counted,
11565,"Churchill, MB",SD,provenance,
12118,"Churchill, MB",SD,exp.seedling.count.y2,
12701,"Churchill, MB",SS,tussock.treat,
12702,"Churchill, MB",SS,moss,
12703,"Churchill, MB",SS,lichen,
12704,"Churchill, MB",SS,mineral,
12705,"Churchill, MB",SS,organic,
12706,"Churchill, MB",SS,rock,
12707,"Churchill, MB",SS,shrub,
12708,"Churchill, MB",SS,excrement,
12709,"Churchill, MB",SS,forb,
12710,"Churchill, MB",SS,graminoid,
12711,"Churchill, MB",SS,litter,
12712,"Churchill, MB",SS,nat.seedling.sp.y0,
12713,"Churchill, MB",SS,nat.seedling.sp.y1,
12714,"Churchill, MB",SS,nat.seedling.count.y1,
12715,"Churchill, MB",SS,nat.seedling.sp.y2,
12716,"Churchill, MB",SS,nat.seedling.count.y2,
12717,"Churchill, MB",SS,exp.seedling.sp,
12718,"Churchill, MB",SS,exp.seedling.dead,
12719,"Churchill, MB",SS,exp.seedling.missing,
12720,"Churchill, MB",SS,scar.photo,
12721,"Churchill, MB",SS,date.seeded,
12722,"Churchill, MB",SS,date.counted,
12723,"Churchill, MB",SS,provenance,
13507,"Churchill, MB",SS,exp.seedling.count.y2,
14314,Craigieburn,CN,herb.treat,
14315,Craigieburn,CN,excrement,
14316,Craigieburn,CN,litter,
14317,Craigieburn,CN,nat.seedling.sp.y0,
14318,Craigieburn,CN,nat.seedling.sp.y1,
14319,Craigieburn,CN,nat.seedling.count.y1,
14320,Craigieburn,CN,nat.seedling.sp.y2,
14321,Craigieburn,CN,nat.seedling.count.y2,
14322,Craigieburn,CN,exp.seedling.count.y2,
14323,Craigieburn,CN,exp.seedling.dead,
14324,Craigieburn,CN,exp.seedling.missing,
14325,Craigieburn,CN,utm.zone,
14326,Craigieburn,CN,easting,
14327,Craigieburn,CN,northing,
14328,Craigieburn,CN,plot.photo,
14329,Craigieburn,CN,scar.photo,
14330,Craigieburn,CN,date.counted,
14331,Craigieburn,CN,comment,
14332,Craigieburn,CN,provenance,
14502,Craigieburn,SS,herb.treat,
14503,Craigieburn,SS,excrement,
14504,Craigieburn,SS,litter,
14505,Craigieburn,SS,nat.seedling.sp.y0,
14506,Craigieburn,SS,nat.seedling.sp.y1,
14507,Craigieburn,SS,nat.seedling.count.y1,
14508,Craigieburn,SS,nat.seedling.sp.y2,
14509,Craigieburn,SS,nat.seedling.count.y2,
14510,Craigieburn,SS,exp.seedling.count.y2,
14511,Craigieburn,SS,exp.seedling.dead,
14512,Craigieburn,SS,exp.seedling.missing,
14513,Craigieburn,SS,utm.zone,
14514,Craigieburn,SS,easting,
14515,Craigieburn,SS,northing,
14516,Craigieburn,SS,plot.photo,
14517,Craigieburn,SS,scar.photo,
14518,Craigieburn,SS,date.counted,
14519,Craigieburn,SS,comment,
14520,Craigieburn,SS,provenance,
14690,Craigieburn,SD,herb.treat,
14691,Craigieburn,SD,excrement,
14692,Craigieburn,SD,litter,
14693,Craigieburn,SD,nat.seedling.sp.y0,
14694,Craigieburn,SD,nat.seedling.sp.y1,
14695,Craigieburn,SD,nat.seedling.count.y1,
14696,Craigieburn,SD,nat.seedling.sp.y2,
14697,Craigieburn,SD,nat.seedling.count.y2,
14698,Craigieburn,SD,exp.seedling.count.y2,
14699,Craigieburn,SD,exp.seedling.dead,
14700,Craigieburn,SD,exp.seedling.missing,
14701,Craigieburn,SD,utm.zone,
14702,Craigieburn,SD,easting,
14703,Craigieburn,SD,northing,
14704,Craigieburn,SD,plot.photo,
14705,Craigieburn,SD,scar.photo,
14706,Craigieburn,SD,date.counted,
14707,Craigieburn,SD,comment,
14708,Craigieburn,SD,provenance,
14878,Craigieburn,SC,herb.treat,
14879,Craigieburn,SC,excrement,
14880,Craigieburn,SC,litter,
14881,Craigieburn,SC,nat.seedling.sp.y0,
14882,Craigieburn,SC,nat.seedling.sp.y1,
14883,Craigieburn,SC,nat.seedling.count.y1,
14884,Craigieburn,SC,nat.seedling.sp.y2,
14885,Craigieburn,SC,nat.seedling.count.y2,
14886,Craigieburn,SC,exp.seedling.count.y2,
14887,Craigieburn,SC,exp.seedling.dead,
14888,Craigieburn,SC,exp.seedling.missing,
14889,Craigieburn,SC,utm.zone,
14890,Craigieburn,SC,easting,
14891,Craigieburn,SC,northing,
14892,Craigieburn,SC,plot.photo,
14893,Craigieburn,SC,scar.photo,
14894,Craigieburn,SC,date.counted,
14895,Craigieburn,SC,comment,
14896,Craigieburn,SC,provenance,
15066,Davos,CTL,transect,
15067,Davos,CTL,dist.on.transect.,
15068,Davos,CTL,tussock.treat,
15069,Davos,CTL,organic,
15070,Davos,CTL,shrub,
15071,Davos,CTL,excrement,
15072,Davos,CTL,forb,
15073,Davos,CTL,graminoid,
15074,Davos,CTL,other,
15075,Davos,CTL,nat.seedling.sp.y0,
15076,Davos,CTL,nat.seedling.count.y0,
15077,Davos,CTL,nat.seedling.sp.y1,
15078,Davos,CTL,nat.seedling.count.y1,
15079,Davos,CTL,nat.seedling.sp.y2,
15080,Davos,CTL,nat.seedling.count.y2,
15081,Davos,CTL,exp.seedling.dead,
15082,Davos,CTL,exp.seedling.missing,
15083,Davos,CTL,utm.zone,
15084,Davos,CTL,easting,
15085,Davos,CTL,northing,
15086,Davos,CTL,plot.photo,
15087,Davos,CTL,scar.photo,
15088,Davos,CTL,date.counted,
15089,Davos,CTL,comment,
15090,Davos,CTL,exp.duration,
21066,Davos,SD,transect,
21067,Davos,SD,dist.on.transect.,
21068,Davos,SD,tussock.treat,
21069,Davos,SD,organic,
21070,Davos,SD,shrub,
21071,Davos,SD,excrement,
21072,Davos,SD,forb,
21073,Davos,SD,graminoid,
21074,Davos,SD,other,
21075,Davos,SD,nat.seedling.sp.y0,
21076,Davos,SD,nat.seedling.count.y0,
21077,Davos,SD,nat.seedling.sp.y1,
21078,Davos,SD,nat.seedling.count.y1,
21079,Davos,SD,nat.seedling.sp.y2,
21080,Davos,SD,nat.seedling.count.y2,
21081,Davos,SD,exp.seedling.dead,
21082,Davos,SD,exp.seedling.missing,
21083,Davos,SD,utm.zone,
21084,Davos,SD,easting,
21085,Davos,SD,northing,
21086,Davos,SD,plot.photo,
21087,Davos,SD,scar.photo,
21088,Davos,SD,date.counted,
21089,Davos,SD,comment,
21090,Davos,SD,exp.duration,
27066,Davos,SS,transect,
27067,Davos,SS,dist.on.transect.,
27068,Davos,SS,tussock.treat,
27069,Davos,SS,organic,
27070,Davos,SS,shrub,
27071,Davos,SS,excrement,
27072,Davos,SS,forb,
27073,Davos,SS,graminoid,
27074,Davos,SS,other,
27075,Davos,SS,nat.seedling.sp.y0,
27076,Davos,SS,nat.seedling.count.y0,
27077,Davos,SS,nat.seedling.sp.y1,
27078,Davos,SS,nat.seedling.count.y1,
27079,Davos,SS,nat.seedling.sp.y2,
27080,Davos,SS,nat.seedling.count.y2,
27081,Davos,SS,exp.seedling.dead,
27082,Davos,SS,exp.seedling.missing,
27083,Davos,SS,utm.zone,
27084,Davos,SS,easting,
27085,Davos,SS,northing,
27086,Davos,SS,plot.photo,
27087,Davos,SS,scar.photo,
27088,Davos,SS,date.counted,
27089,Davos,SS,comment,
27090,Davos,SS,exp.duration,
33066,Davos,SC,transect,
33067,Davos,SC,dist.on.transect.,
33068,Davos,SC,tussock.treat,
33069,Davos,SC,organic,
33070,Davos,SC,shrub,
33071,Davos,SC,excrement,
33072,Davos,SC,forb,
33073,Davos,SC,graminoid,
33074,Davos,SC,other,
33075,Davos,SC,nat.seedling.sp.y0,
33076,Davos,SC,nat.seedling.count.y0,
33077,Davos,SC,nat.seedling.sp.y1,
33078,Davos,SC,nat.seedling.count.y1,
33079,Davos,SC,nat.seedling.sp.y2,
33080,Davos,SC,nat.seedling.count.y2,
33081,Davos,SC,exp.seedling.dead,
33082,Davos,SC,exp.seedling.missing,
33083,Davos,SC,utm.zone,
33084,Davos,SC,easting,
33085,Davos,SC,northing,
33086,Davos,SC,plot.photo,
33087,Davos,SC,scar.photo,
33088,Davos,SC,date.counted,
33089,Davos,SC,comment,
33090,Davos,SC,exp.duration,
39066,Las Cutas,CN,tussock.treat,
39067,Las Cutas,CN,organic.depth,
39068,Las Cutas,CN,forb,
39069,Las Cutas,CN,litter,
39070,Las Cutas,CN,other,
39071,Las Cutas,CN,nat.seedling.sp.y0,
39072,Las Cutas,CN,nat.seedling.count.y0,
39073,Las Cutas,CN,nat.seedling.sp.y1,
39074,Las Cutas,CN,nat.seedling.count.y1,
39075,Las Cutas,CN,nat.seedling.sp.y2,
39076,Las Cutas,CN,nat.seedling.count.y2,
39077,Las Cutas,CN,exp.seedling.dead,
39078,Las Cutas,CN,exp.seedling.missing,
39079,Las Cutas,CN,utm.zone,
39080,Las Cutas,CN,easting,
39081,Las Cutas,CN,northing,
39082,Las Cutas,CN,scar.photo,
39083,Las Cutas,CN,date.seeded,
39084,Las Cutas,CN,date.counted,
39085,Las Cutas,CN,comment,
39086,Las Cutas,CN,provenance,
39121,Las Cutas,CN,plot.photo,
39277,Las Cutas,SC,tussock.treat,
39278,Las Cutas,SC,organic.depth,
39279,Las Cutas,SC,forb,
39280,Las Cutas,SC,litter,
39281,Las Cutas,SC,other,
39282,Las Cutas,SC,nat.seedling.sp.y0,
39283,Las Cutas,SC,nat.seedling.count.y0,
39284,Las Cutas,SC,nat.seedling.sp.y1,
39285,Las Cutas,SC,nat.seedling.count.y1,
39286,Las Cutas,SC,nat.seedling.sp.y2,
39287,Las Cutas,SC,nat.seedling.count.y2,
39288,Las Cutas,SC,exp.seedling.dead,
39289,Las Cutas,SC,exp.seedling.missing,
39290,Las Cutas,SC,utm.zone,
39291,Las Cutas,SC,easting,
39292,Las Cutas,SC,northing,
39293,Las Cutas,SC,plot.photo,
39294,Las Cutas,SC,scar.photo,
39295,Las Cutas,SC,date.seeded,
39296,Las Cutas,SC,date.counted,
39297,Las Cutas,SC,comment,
39298,Las Cutas,SC,provenance,
39484,Las Cutas,SD,tussock.treat,
39485,Las Cutas,SD,organic.depth,
39486,Las Cutas,SD,forb,
39487,Las Cutas,SD,litter,
39488,Las Cutas,SD,other,
39489,Las Cutas,SD,nat.seedling.sp.y0,
39490,Las Cutas,SD,nat.seedling.count.y0,
39491,Las Cutas,SD,nat.seedling.sp.y1,
39492,Las Cutas,SD,nat.seedling.count.y1,
39493,Las Cutas,SD,nat.seedling.sp.y2,
39494,Las Cutas,SD,nat.seedling.count.y2,
39495,Las Cutas,SD,exp.seedling.dead,
39496,Las Cutas,SD,exp.seedling.missing,
39497,Las Cutas,SD,utm.zone,
39498,Las Cutas,SD,easting,
39499,Las Cutas,SD,northing,
39500,Las Cutas,SD,scar.photo,
39501,Las Cutas,SD,date.seeded,
39502,Las Cutas,SD,date.counted,
39503,Las Cutas,SD,comment,
39504,Las Cutas,SD,provenance,
39520,Las Cutas,SD,plot.photo,
39696,Las Cutas,SS,tussock.treat,
39697,Las Cutas,SS,forb,
39698,Las Cutas,SS,litter,
39699,Las Cutas,SS,other,
39700,Las Cutas,SS,nat.seedling.sp.y0,
39701,Las Cutas,SS,nat.seedling.count.y0,
39702,Las Cutas,SS,nat.seedling.sp.y1,
39703,Las Cutas,SS,nat.seedling.count.y1,
39704,Las Cutas,SS,nat.seedling.sp.y2,
39705,Las Cutas,SS,nat.seedling.count.y2,
39706,Las Cutas,SS,exp.seedling.dead,
39707,Las Cutas,SS,exp.seedling.missing,
39708,Las Cutas,SS,utm.zone,
39709,Las Cutas,SS,easting,
39710,Las Cutas,SS,northing,
39711,Las Cutas,SS,scar.photo,
39712,Las Cutas,SS,date.seeded,
39713,Las Cutas,SS,date.counted,
39714,Las Cutas,SS,comment,
39715,Las Cutas,SS,provenance,
39717,Las Cutas,SS,organic.depth,
39732,Las Cutas,SS,plot.photo,
39904,"Mount Roberts, AK",SD,tussock.treat,
39905,"Mount Roberts, AK",SD,excrement,
39906,"Mount Roberts, AK",SD,litter,
